threshold,real_edges,chance_edges_mean,chance_edges_sd,chance_fraction,excess_over_chance
0.05,1274,1158.28,19.61159538045883,0.9091679748822605,115.72000000000003
0.06,1180,1045.8,20.0904987669176,0.8862711864406779,134.20000000000005
0.07,1084,937.875,20.746843920541664,0.8651983394833949,146.125
0.08,996,835.62,21.254986999803343,0.8389759036144578,160.38
0.09,922,739.715,21.949548707028377,0.8022939262472886,182.28499999999997
0.1,830,650.305,20.374680686217552,0.7835,179.69500000000005
0.11,749,567.8,19.332062570147045,0.7580774365821095,181.20000000000005
0.12,679,492.18,18.025598771061016,0.724860088365243,186.82
0.13,609,423.735,16.936914428305965,0.6957881773399015,185.265
0.14,547,362.58,16.688804058545436,0.6628519195612431,184.42000000000002
0.15,467,307.9,15.471159747077722,0.6593147751605996,159.10000000000002
0.16,424,259.205,15.066451633484263,0.6113325471698113,164.79500000000002
0.17,379,215.885,13.655553658810149,0.569617414248021,163.115
0.18,333,178.94,13.101321426313373,0.5373573573573573,154.06
0.19,288,146.715,12.538734958992444,0.5094270833333333,141.285
0.2,258,119.0,11.406160726228736,0.46124031007751937,139.0
0.21,226,95.495,10.039118211893003,0.4225442477876106,130.505
0.22,194,75.94,9.031291220281163,0.39144329896907215,118.06
0.23,167,59.965,7.861474985314373,0.35907185628742516,107.035
0.24,137,46.99,7.13262023079765,0.34299270072992705,90.00999999999999
0.25,111,36.835,6.582890492494988,0.33184684684684684,74.16499999999999
0.26,99,28.56,5.594900765238319,0.28848484848484846,70.44
0.27,88,21.885,4.718377947161642,0.24869318181818184,66.115
0.28,71,16.52,4.387006854989931,0.23267605633802815,54.480000000000004
0.29,59,12.235,3.7160219449671428,0.20737288135593218,46.765
0.3,49,9.25,3.141151726812042,0.18877551020408162,39.75
0.31,38,6.865,2.655566827605624,0.1806578947368421,31.134999999999998
0.32,31,4.835,2.202733568972743,0.15596774193548388,26.165
0.33,26,3.675,1.997328617939522,0.14134615384615384,22.325
0.34,26,2.55,1.587482441639139,0.09807692307692308,23.45
0.35,22,1.76,1.3271043780165726,0.08,20.24
0.36,20,1.265,1.118494591293927,0.06325,18.735
0.37,16,0.905,0.9594675030699248,0.0565625,15.095
0.38,13,0.645,0.8500517276604362,0.04961538461538462,12.355
0.39,8,0.455,0.6709889199184039,0.056875,7.545
0.4,7,0.28,0.502856163935613,0.04,6.72
0.41,7,0.17,0.3896912835597071,0.02428571428571429,6.83
0.42,5,0.105,0.3232607112489638,0.020999999999999998,4.895
0.43,4,0.075,0.28244268329474154,0.01875,3.925
0.44,1,0.05,0.21849186132974535,0.05,0.95
0.45,1,0.04,0.19645092217681395,0.04,0.96
0.46,1,0.03,0.17101529509309654,0.03,0.97
0.47,0,0.01,0.09974842727441166,,-0.01
0.48,0,0.0,0.0,,0.0
0.49,0,0.0,0.0,,0.0
0.5,0,0.0,0.0,,0.0
