threshold,edges,mean_degree,n_components,gcc_size,gcc_fraction,n_isolates,modularity,n_communities
0.05,1067,35.56666666666667,1,60,1.0,0,0.18730981433917848,3
0.06,953,31.766666666666666,1,60,1.0,0,0.1998276145994501,3
0.07,849,28.3,2,59,0.9833333333333333,1,0.2135939130400449,4
0.08,756,25.2,3,58,0.9666666666666667,2,0.21438800883972897,5
0.09,668,22.266666666666666,4,57,0.95,3,0.22702664289774316,6
0.1,606,20.2,4,57,0.95,3,0.2390696507082714,7
0.11,536,17.866666666666667,4,57,0.95,3,0.2694147239312153,6
0.12,468,15.6,5,56,0.9333333333333333,4,0.2870283056052869,7
0.13,401,13.366666666666667,6,55,0.9166666666666666,5,0.306355809997089,8
0.14,343,11.433333333333334,7,54,0.9,6,0.32599827094711586,9
0.15,294,9.8,8,53,0.8833333333333333,7,0.35223329585154883,10
0.16,243,8.1,11,50,0.8333333333333334,10,0.3740856077602656,13
0.17,221,7.366666666666666,12,49,0.8166666666666667,11,0.38622337190418,14
0.18,185,6.166666666666667,15,46,0.7666666666666667,14,0.3988481799847276,17
0.19,152,5.066666666666666,17,44,0.7333333333333333,16,0.41390961755863726,19
0.2,124,4.133333333333334,20,41,0.6833333333333333,19,0.40484301408195056,23
0.21,102,3.4,21,40,0.6666666666666666,20,0.4316979175187623,24
0.22,80,2.6666666666666665,22,39,0.65,21,0.4696889193123427,25
0.23,68,2.2666666666666666,24,37,0.6166666666666667,23,0.47915938488680465,27
0.24,55,1.8333333333333333,29,32,0.5333333333333333,28,0.5116719655986226,32
0.25,42,1.4,33,28,0.4666666666666667,32,0.5243147918090807,35
0.26,34,1.1333333333333333,34,27,0.45,33,0.5793673856260149,37
0.27,31,1.0333333333333334,35,26,0.43333333333333335,34,0.5975138417724748,38
0.28,26,0.8666666666666667,38,23,0.38333333333333336,37,0.5867361897669517,41
0.29,21,0.7,41,18,0.3,39,0.6065934738926613,43
0.3,15,0.5,46,7,0.11666666666666667,43,0.6139359442189578,47
0.31,11,0.36666666666666664,50,6,0.1,47,0.5764470117206505,51
0.32,10,0.3333333333333333,51,5,0.08333333333333333,47,0.6345003178726639,51
0.33,9,0.3,52,4,0.06666666666666667,48,0.6594695137715632,52
0.34,7,0.23333333333333334,54,4,0.06666666666666667,51,0.5673708923013361,54
0.35,3,0.1,57,3,0.05,55,0.4627829179534878,57
0.36,3,0.1,57,3,0.05,55,0.4627829179534878,57
0.37,2,0.06666666666666667,58,2,0.03333333333333333,56,0.4983385971844655,58
0.38,1,0.03333333333333333,59,2,0.03333333333333333,58,0.0,59
0.39,1,0.03333333333333333,59,2,0.03333333333333333,58,0.0,59
0.4,1,0.03333333333333333,59,2,0.03333333333333333,58,0.0,59
0.41,1,0.03333333333333333,59,2,0.03333333333333333,58,0.0,59
0.42,1,0.03333333333333333,59,2,0.03333333333333333,58,0.0,59
0.43,0,0.0,60,1,0.016666666666666666,60,,0
0.44,0,0.0,60,1,0.016666666666666666,60,,0
0.45,0,0.0,60,1,0.016666666666666666,60,,0
0.46,0,0.0,60,1,0.016666666666666666,60,,0
0.47,0,0.0,60,1,0.016666666666666666,60,,0
0.48,0,0.0,60,1,0.016666666666666666,60,,0
0.49,0,0.0,60,1,0.016666666666666666,60,,0
0.5,0,0.0,60,1,0.016666666666666666,60,,0
