code,block,text,mean,sd,n,strongly_agree,agree,neutral,disagree,strongly_disagree,pct_agree,pct_disagree,pct_neutral
T01,T,Artificial Intelligence will improve society more than it will create problems.,3.637,0.983,91,12,50,18,6,5,68.1,12.1,19.8
T02,T,Generative AI tools should be allowed as learning aids in higher education.,4.0,0.989,91,30,42,11,5,3,79.1,8.8,12.1
T03,T,Students should disclose the use of AI in assignments and reports.,4.011,0.846,89,27,40,19,2,1,75.3,3.4,21.3
T04,T,Every engineering student should receive formal education in AI.,4.209,0.837,91,39,35,15,1,1,81.3,2.2,16.5
T05,T,Artificial Intelligence will significantly accelerate scientific discovery.,4.187,0.906,91,40,34,12,4,1,81.3,5.5,13.2
T06,T,Most repetitive jobs will eventually be replaced by intelligent automation.,4.209,0.888,91,38,41,7,3,2,86.8,5.5,7.7
T07,T,Robots should replace humans in hazardous occupations whenever possible.,4.209,1.038,91,46,29,8,5,3,82.4,8.8,8.8
T08,T,AI-assisted diagnosis should become routine in healthcare.,3.078,1.094,90,7,27,31,16,9,37.8,27.8,34.4
T09,T,Autonomous vehicles will ultimately make transportation safer.,3.278,0.96,90,8,30,34,15,3,42.2,20.0,37.8
T10,T,Protection of personal data is more important than technological convenience.,4.154,0.881,91,37,36,14,3,1,80.2,4.4,15.4
T11,T,Technology companies should explain how recommendation algorithms work.,4.157,0.878,89,36,37,10,6,0,82.0,6.7,11.2
T12,T,Governments should introduce stricter regulations for Artificial Intelligence.,4.022,1.005,90,34,34,14,6,2,75.6,8.9,15.6
T13,T,Cybersecurity deserves greater investment than the development of new digital technologies.,3.978,0.904,89,32,26,28,3,0,65.2,3.4,31.5
T14,T,Social media algorithms contribute to opinion polarization.,4.5,0.768,90,56,26,6,1,1,91.1,2.2,6.7
T15,T,Society will increasingly depend on AI-assisted decision making.,4.167,0.783,90,34,39,15,2,0,81.1,2.2,16.7
E01,E,Project-based learning develops deeper understanding than examination-oriented learning.,4.322,0.909,87,48,25,8,6,0,83.9,6.9,9.2
E02,E,Traditional written examinations accurately measure a student's knowledge.,2.839,1.119,87,5,23,22,27,10,32.2,42.5,25.3
E03,E,Class attendance should be compulsory for all courses.,2.057,1.124,87,3,8,15,26,35,12.6,70.1,17.2
E04,E,High-quality online learning can effectively complement classroom teaching.,3.437,1.168,87,18,29,16,21,3,54.0,27.6,18.4
E05,E,Students should be encouraged to take courses outside their primary discipline.,4.094,0.908,85,31,38,10,5,1,81.2,7.1,11.8
