,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T01,1.0,0.38638318565617985,0.06090256704533174,-0.001600917540850282,0.2196244749275337,0.05535776865208991,0.20977383435949412,0.15260588425552515,0.13069761148071588,0.010489051017752696,-0.02327692975522924,-0.3056962630608612,-0.09814697556335764,0.08356963083427453,0.07137224917193721,0.05929743097611007,0.24381958947685617,0.1903009741949631,0.10393080581333622,0.05933279970099894,0.1790306589431001,-0.12576662690572524,0.20713713965016167,-0.055628785680423745,-0.1669354938889465,-0.0008762217381468207,0.13112129696568348,0.10074549596189686,0.0844633477266485,-0.061635761362928324,-0.05291161224118093,-0.13484398957574126,-0.08063257164729896,-0.31038630043630183,-0.04618245985151789,-0.1760079019211781,0.006284849489454577,-0.001939381389245212,-0.21460432569381463,-0.06895205934219067,0.058875069332958684,-0.004539969654787085,-0.20892853588635893,-0.18040947673487007,-0.041920054839764444,-0.010601480712849417,-0.053520296634509586,-0.1294900998773436,-0.03832368241734789,-0.15255823620836878,-0.05681469716360246,-0.12150720104817656,-0.09858739859000272,-0.09242974603972866,-0.23313474680217275,-0.07881049488083583,-0.33108460606492623,-0.08569004882418581,-0.11528183266838647,-0.1494035890530535
T02,0.38638318565617985,1.0,-0.021579840249037578,0.19988531121243625,-0.014893100194046953,0.21703568018044825,0.04498082501039119,0.08260994222371666,-0.14736661862032666,0.046761200511446104,-0.03727375905864459,-0.10048184136349586,0.023113284594373514,0.11640993410188011,0.05579139359457768,0.04815323659584727,-0.0013618770010034886,-0.02778684803732508,0.10301560565708172,-0.2946156573579006,-0.01780374073802908,-0.07819344680320178,0.06919085528558618,-0.03971423907381307,-0.0753646971664306,-0.07369586600572357,0.41197599552605346,-0.06382707596542457,0.14097351389400797,-0.050630038228571476,0.005686841428197026,-0.043064277876395746,0.012811118653178924,-0.14542348341800457,-0.1433936422624445,-0.1465119342663187,-0.03757646760090552,0.06776468528216956,-0.12775888367081656,-0.28045876352775223,-0.20970215039080373,-0.06582746284372745,0.020532588933853933,0.05486860297552786,0.18091635025207303,-0.05701997188820317,0.09265299149576363,0.039818251346286526,-0.14349318651316192,-0.1774678522051617,-0.062332490570900685,-0.2613781199543282,-0.0801616855802236,-0.19899162197190298,0.0001234489240658948,0.09947671116044143,-0.08506130714257565,-0.1303310652858068,-0.1139241017032289,-0.31333808827651227
T03,0.06090256704533174,-0.021579840249037578,1.0,-0.04560660124888492,-0.06815258473671926,0.035534228037701225,0.041115584829813666,-0.09385876211781022,0.10783236171007925,0.07001915451188571,0.07053224746675871,0.2858428577933564,0.11387449672458794,0.20516221033100618,0.19591882247992864,-0.15677903665921497,0.12516227699340302,0.0731813186773545,-0.36936965687027007,0.010903718335989845,-0.13213760933932728,-0.02929135238870782,-0.030875284243582636,-0.04665304709238758,-0.06608812026656154,0.17474390333135864,-0.09374016863061982,-0.16827953135863064,0.004579830427127234,0.06913567480706272,-0.07701835158590865,0.10446310876496102,-0.14827956991128696,-0.039518435044615594,0.15453484648566473,-0.1235219386565871,-0.10232676752942037,0.14852912483182068,-0.017599407414818115,-0.045933890885955585,0.03167402799083789,0.19023420855914236,-0.06756589925303377,-0.14085679356354272,-0.014098249675517063,-0.14274676924281302,0.17879003902405177,-0.2886430431861404,0.07241851725726062,-0.017045748748998637,-0.08110077864187272,0.030320288743946565,-0.016690893895506216,0.18194961135783513,-0.13156993461346175,-0.06288481609485758,-0.1378478154393794,-0.006169127292569834,-0.14815183615743166,0.0873894292992557
T04,-0.001600917540850282,0.19988531121243625,-0.04560660124888492,1.0,0.06633666919155483,0.14249930313493925,-0.07003667907953344,0.0768232175976578,-0.11534295459674775,0.09847202711539042,-0.31871926086949537,0.011791645099140796,-0.05496991250924974,0.2661154788764017,0.29268749203517264,0.017669899046355846,0.047460515978599335,0.12984437485954295,-0.14805051051827828,-0.03580545345466935,0.07955255927224823,0.0738556261112966,0.010792212085658318,0.10699735973352704,0.18855067360370148,-0.12806879271595564,0.13322103153065654,-0.0012225912563209867,0.1980517799751865,0.02854400491630961,-0.017491318070495414,-0.03277141252818666,0.026435682998176963,-0.12997714043647274,-0.08579428026890855,-0.15381796920182833,-0.1333967937436897,-0.2647694826277832,-0.1058234565329559,-0.024659498211014125,-0.13530262202096513,-0.07080417840338703,0.16753682751832355,0.0758545434421329,0.06819729588800966,0.062123897369601874,-0.12299531263016916,0.009629399536756175,-0.21482221949922428,-0.30046318291371593,-0.1700352457333901,-0.23127932321682926,-0.05208785522770837,-0.1370566263687683,-0.13583904805572916,-0.06952376406383336,-0.10782826171019345,-0.12176558931118793,-0.0736915891400564,-0.11640772215653294
T05,0.2196244749275337,-0.014893100194046953,-0.06815258473671926,0.06633666919155483,1.0,0.0649612335234056,0.1791952406208687,0.17759257132190143,0.0047228228623229585,0.08318931533433466,0.06103204125527627,0.06695232141414936,-0.043367448578051915,0.10801543620603728,0.2424884416143689,0.004241101653195173,0.06238775420859188,0.002843205575115773,0.07765026322433229,-0.17092100866632004,-0.15612879592305742,-0.087687718937686,-0.13882428841631328,-0.21860241005011244,0.07661948756214579,0.02234303148698993,-0.12644653112890464,-0.07492184858455185,0.03704750910207685,0.032991497432811635,-0.03752215217376144,-0.24614116429724675,-0.027975898949914552,-0.13906024149984364,0.24997013232565124,0.038940971432125444,0.10642526399062119,-0.15732444510155372,-0.2123561821299559,0.16139206501682377,0.2701056970179018,0.06806578797943648,0.10478989463213693,-0.12391082740636984,0.06169555259893489,0.22613339550899303,-0.006873536496975552,-0.15773251305333869,0.03201449600136576,-0.09394738352258533,0.20277255691195248,-0.1349568896071569,-0.06470625733459166,-0.03978972125195812,-0.04364534179263784,0.1091982177771464,-0.2179585206736383,0.010728878813473711,0.0521155258154357,0.04018049189942469
T06,0.05535776865208991,0.21703568018044825,0.035534228037701225,0.14249930313493925,0.0649612335234056,1.0,0.014428342173750842,-0.027101717083599736,-0.02839700857854142,-0.04148564649214692,-0.09218632399452403,0.13932604851940936,-0.051205263127904375,-0.007164476318805824,0.16476842822592047,0.21521159969381257,-0.05281538707264477,-0.09977222229494631,0.06079490929118901,-0.1776451239210373,0.1944306177409835,-0.11034870026618732,0.15248911845556637,-0.1973836688385521,0.13836197503535744,0.07010857075135817,0.21047727137136005,-0.16669454269533357,0.26577913018301524,0.10727940405528012,-0.15525563341029985,-0.19222329752718814,-0.07508781158136969,0.08832595269420652,-0.11623887413957106,-0.09369760482001192,0.25728043413612783,-0.2874141329692463,-0.14534795789657984,-0.053288252812002536,-0.16377068497507252,0.016785673050561282,0.06034431265262346,-0.0832321141357342,-0.048988255809208466,-0.07991206739838852,0.14377650797332112,0.06737232789411246,0.008187907715572052,0.1753639067046196,0.08347238775392321,-0.049316585381316926,-0.17746245566329066,0.1084343592164351,-0.11145226036012092,0.009980087634756751,-0.05414780037865249,0.008391246370372982,-0.02109178679699543,0.14602392064956846
T07,0.20977383435949412,0.04498082501039119,0.041115584829813666,-0.07003667907953344,0.1791952406208687,0.014428342173750842,1.0,0.044561257015527725,0.1736046676799678,-0.045430289658649904,0.14107639255581014,-0.04182347488510388,-0.11314487802816818,0.16709746025479108,-0.04115939260132936,-0.006782212526042927,0.12546444373194993,0.07482806292800043,0.013555812236855211,-0.1361091199804961,-0.034901039495828165,-0.24449303240851664,-0.05800079654141514,-0.15951684990856,-0.24616659111913053,0.005245569961273171,-0.25139186494764326,-0.07075296998957309,-0.1251961416998766,-0.04230939270187818,0.1140034011853447,-0.03493882818724558,0.025540337645644142,-0.10944637601593821,-0.09313292076640158,-0.10462717364579924,0.1266733318107946,0.117876400959767,-0.0762064832157443,0.11170761431820872,-0.12011613741848723,-0.0006491592790774872,0.01544827476784744,0.01040654421519957,0.014564614796868075,0.2129930542347566,0.09006658914149952,-0.21904109548556286,0.06746611759230531,0.009128491891746169,-0.04687599566834489,-0.04801277690117118,0.009180048429527184,-0.14672672758516353,-0.06831966678887348,0.06900397074016852,-0.14960811805335317,0.15982826335766742,0.09137725035126987,-0.10841737180103823
T08,0.15260588425552515,0.08260994222371666,-0.09385876211781022,0.0768232175976578,0.17759257132190143,-0.027101717083599736,0.044561257015527725,1.0,0.2890932985209195,0.019599020451054303,0.17080076336409392,0.07466312008778947,0.0825305933540179,0.11322836095748455,0.04691743467424862,-0.16873404704902434,0.22459901577106497,0.06701203343554868,-0.19200031859181965,0.05597610761603347,0.15061222054869525,-0.1871525518670319,-0.24815131950689037,-0.11518872936306754,-0.24662793364895283,-0.27138840889671495,0.012627077153188618,0.22248371367691583,-0.015407038151348381,-0.23651156735990952,-0.19072214315694241,-0.12628573512677665,-0.149690584284103,-0.11056643195497882,0.09174176824593777,-0.21400439041542757,-0.06214754611616657,0.07553150408126198,-0.1602908746464052,-0.0077533271508685424,-0.11760723617827991,-0.022503275418265627,-0.04195586999954968,-0.2070389508399386,-0.06660746395719556,-0.060797330637002545,-0.18361162403738893,-0.1467442382042209,-0.08216586932865329,-0.15124230040561815,-0.10110587722164523,-0.18509860646451756,-0.1167203616277294,-0.20348541052757135,0.00907519792861576,0.18115422712889853,-0.14425715134810996,-0.0022858781513725,-0.12961510251153732,-0.217083964848702
T09,0.13069761148071588,-0.14736661862032666,0.10783236171007925,-0.11534295459674775,0.0047228228623229585,-0.02839700857854142,0.1736046676799678,0.2890932985209195,1.0,-0.25563763071269135,0.11922122714328567,-0.17846590049865552,-0.09656364376930017,-0.015400116326972623,-0.044848513833330106,-0.04866335078131308,0.08261323181823159,0.07266529683469077,0.02829268293243722,0.09748919819545952,0.14852762571386008,0.019665002061578486,-0.2516974295144814,-0.12713197434772713,-0.13388849783563792,-0.21486036766386427,-0.10388384697914356,0.2102909436155442,-0.0008482372205072969,0.032226974931225096,-0.05724321408332671,0.060566840997679984,-0.1374548004819134,-0.15065350911087774,-0.1437133862666001,-0.23660577485686912,-0.09930462163800154,0.19518391826717302,-0.012600758333277763,0.10153400142214809,0.04740797400979903,0.1834223386823737,-0.05701860933689145,-0.2829630400395842,-0.11623517069445133,-0.041664177743699245,-0.0478760051137991,-0.028664272012132622,-0.043631324161467054,0.03312265791662453,-0.1761149811087375,0.025882737281022233,-0.0815362621988624,-0.13580969749502064,-0.26681507211515676,0.08347205539522787,-0.16339786001550444,-0.10917294955734382,-0.009657699325034266,0.09787288339250272
T10,0.010489051017752696,0.046761200511446104,0.07001915451188571,0.09847202711539042,0.08318931533433466,-0.04148564649214692,-0.045430289658649904,0.019599020451054303,-0.25563763071269135,1.0,0.22554337030665783,0.39012356509782514,0.2311380493234853,0.24622969594381103,0.033227539398690456,-0.14744860998525053,-0.02642487665792015,0.0034643549729696595,-0.13538406403058179,0.02951975153662639,-0.08305260223788477,-0.07418631622400271,-0.08549299146632025,0.21385223129495143,-0.08096709753964222,0.05057569295866413,-0.10084739693396357,-0.11428048067861309,-0.11671591412463442,-0.1313306713738915,0.03661756461199741,0.08013428069606492,0.11711062377252442,-0.002218142580748806,0.3802996415547978,-0.05946587479523573,-0.13809734486009778,-0.006769617958054809,-0.17723147377667253,0.00033451075887146523,-0.10780081468204097,-0.043307023989402546,-0.01230108796253762,0.05998916833405349,0.06672826060622498,-0.11519346301597422,-0.03934897585692927,-0.08983390353435197,-0.026096237183514847,-0.1915317293331146,-0.061045446815040746,-0.18199196471613835,-0.13836675905725035,-0.012783802502052697,0.05646725263163753,-0.11982939593966159,-0.0097206072245239,0.09492955113139795,-0.1912584641288614,-0.06332239520248174
