scenario,repeat,n_masked,accuracy,mae,confusion_actual_-2_pred_-2,confusion_actual_-2_pred_-1,confusion_actual_-2_pred_0,confusion_actual_-2_pred_1,confusion_actual_-2_pred_2,confusion_actual_-1_pred_-2,confusion_actual_-1_pred_-1,confusion_actual_-1_pred_0,confusion_actual_-1_pred_1,confusion_actual_-1_pred_2,confusion_actual_0_pred_-2,confusion_actual_0_pred_-1,confusion_actual_0_pred_0,confusion_actual_0_pred_1,confusion_actual_0_pred_2,confusion_actual_1_pred_-2,confusion_actual_1_pred_-1,confusion_actual_1_pred_0,confusion_actual_1_pred_1,confusion_actual_1_pred_2,confusion_actual_2_pred_-2,confusion_actual_2_pred_-1,confusion_actual_2_pred_0,confusion_actual_2_pred_1,confusion_actual_2_pred_2
NC-like scattered masking,0,626,0.48242811501597443,0.7028753993610224,1,6,3,3,4,2,0,8,16,5,3,7,22,36,22,6,7,27,115,79,0,6,13,71,164
NC-like scattered masking,1,626,0.46166134185303515,0.7364217252396166,4,1,1,4,2,3,5,6,17,7,3,13,20,29,20,5,8,37,102,76,2,8,15,80,158
NC-like scattered masking,2,626,0.44089456869009586,0.7507987220447284,2,7,2,2,1,3,2,7,9,10,4,10,19,42,25,4,11,36,92,76,2,3,22,74,161
NC-like scattered masking,3,626,0.48083067092651754,0.670926517571885,4,5,3,5,1,4,2,6,8,2,3,8,16,31,21,2,5,39,110,77,2,4,20,79,169
NC-like scattered masking,4,626,0.46166134185303515,0.694888178913738,5,3,4,0,1,4,6,6,9,8,5,7,14,30,20,1,13,24,114,97,2,3,14,86,150
Structural suffix masking,0,964,0.46887966804979253,0.6327800829875518,2,0,4,2,2,0,3,3,6,10,0,3,7,46,37,1,3,14,140,252,0,3,10,116,300
Structural suffix masking,1,948,0.4651898734177215,0.640295358649789,2,3,2,7,4,2,1,5,10,5,0,2,19,37,24,0,1,33,122,182,0,4,19,167,297
Structural suffix masking,2,979,0.5097037793667007,0.5658835546475995,3,1,0,3,1,1,0,3,6,6,1,1,11,56,22,0,2,24,188,142,0,4,14,193,297
Structural suffix masking,3,1213,0.4971145919208574,0.6026380873866447,1,3,1,9,3,0,4,3,13,9,0,3,8,47,31,1,3,19,210,186,0,3,20,256,380
Structural suffix masking,4,1070,0.49065420560747663,0.5981308411214953,0,0,1,3,0,5,4,6,10,6,1,1,17,51,38,0,2,19,155,181,1,3,16,201,349
