source,target,correlation,abs_correlation,pairwise_n,p_value,sign
V05,V07,0.4925937285024111,0.4925937285024111,91,7.054338596304845e-07,positive
V07,V08,0.48712944665810276,0.48712944665810276,91,9.750968836993964e-07,positive
V09,V13,0.47098629474706993,0.47098629474706993,91,2.4574227309075264e-06,positive
T11,E10,-0.42609024739022333,0.42609024739022333,91,2.542293872883158e-05,negative
E14,E15,0.42432582130260915,0.42432582130260915,91,2.76852077428865e-05,positive
T12,T13,0.4241020762798395,0.4241020762798395,91,2.7985160276662467e-05,positive
E02,E03,0.4186026138405972,0.4186026138405972,91,3.63852275047974e-05,positive
V01,V13,0.4130516171324351,0.4130516171324351,91,4.720615645355518e-05,positive
V13,V14,0.4121447234390258,0.4121447234390258,91,4.923614384573753e-05,positive
T02,E12,0.41197599552605346,0.41197599552605346,91,4.962268358405313e-05,positive
V08,V10,0.4040350943951912,0.4040350943951912,91,7.136432411299061e-05,positive
V05,V06,0.4030946313083399,0.4030946313083399,91,7.44574390760567e-05,positive
E05,S15,-0.39220941669173937,0.39220941669173937,91,0.00012056622121451712,negative
T10,T12,0.39012356509782514,0.39012356509782514,91,0.00013198166137706293,positive
T01,T02,0.38638318565617985,0.38638318565617985,91,0.00015499342954192636,positive
T10,S05,0.3802996415547978,0.3802996415547978,91,0.00020047956470501643,positive
E09,V02,-0.3766726140364284,0.3766726140364284,91,0.00023316849297894132,negative
S11,V06,0.3763979609167758,0.3763979609167758,91,0.00023583392660814995,positive
T14,V07,-0.37046551660539584,0.37046551660539584,91,0.0003007278147811691,negative
T03,E04,-0.36936965687027007,0.36936965687027007,91,0.00031437963971637974,negative
E05,E06,0.3598040780170431,0.3598040780170431,91,0.00046013275583909897,positive
S01,S03,0.355029232358305,0.355029232358305,91,0.0005540618675825314,positive
E11,E15,0.35407754411537207,0.35407754411537207,91,0.0005747625108650496,positive
E15,V10,-0.3536170596829312,0.3536170596829312,91,0.0005850307310491398,negative
V05,V15,0.34285930514673657,0.34285930514673657,91,0.0008781697323908088,positive
E07,E10,0.3380595263499696,0.3380595263499696,91,0.0010478351618906864,positive
T13,S07,-0.3361107252975509,0.3361107252975509,91,0.0011248511944692867,negative
S02,V01,-0.3355595913990955,0.3355595913990955,91,0.0011475460941046283,negative
E12,V13,-0.33361609702235034,0.33361609702235034,91,0.0012309357038836624,negative
T01,V12,-0.33108460606492623,0.33108460606492623,91,0.0013477960717086688,negative
T12,S13,0.33004392527628024,0.33004392527628024,91,0.0013986878037333212,positive
V01,V02,0.32810546023518977,0.32810546023518977,91,0.0014981504338618212,positive
T04,T11,-0.31871926086949537,0.31871926086949537,91,0.0020764111140896507,negative
S05,V13,0.314178290065877,0.314178290065877,91,0.0024227352727977346,positive
T02,V15,-0.31333808827651227,0.31333808827651227,91,0.0024922357128614944,negative
T01,S04,-0.31038630043630183,0.31038630043630183,91,0.0027508439523936867,negative
T01,T12,-0.3056962630608612,0.3056962630608612,91,0.0032115407932758883,negative
V10,V12,0.3049122877101781,0.3049122877101781,91,0.003294957615846282,positive
E08,S03,-0.3045961220284875,0.3045961220284875,91,0.00332914367458907,negative
E03,E12,-0.30256330625283767,0.30256330625283767,91,0.00355663227442902,negative
V06,V07,0.30099929523035845,0.30099929523035845,91,0.003741015014593815,positive
T04,V05,-0.30046318291371593,0.30046318291371593,91,0.0038061558767602654,negative
S13,V10,0.2990860397258511,0.2990860397258511,91,0.003978154625456215,positive
E05,S14,-0.29636163805054444,0.29636163805054444,91,0.004338985394526264,negative
S07,V02,0.29612503240119836,0.29612503240119836,91,0.004371658089156796,positive
T02,E05,-0.2946156573579006,0.2946156573579006,91,0.004585295377046063,negative
T04,T15,0.29268749203517264,0.29268749203517264,91,0.004871702341508274,positive
E08,V02,0.2911685292713957,0.2911685292713957,91,0.005108416353531396,positive
T08,T09,0.2890932985209195,0.2890932985209195,91,0.005448320111079351,positive
T03,V03,-0.2886430431861404,0.2886430431861404,91,0.005524664333905782,negative
T14,S05,0.28783769257616143,0.28783769257616143,91,0.0056635872203881004,positive
T06,S08,-0.2874141329692463,0.2874141329692463,91,0.005737886908220374,negative
E08,V09,0.28699385577237846,0.28699385577237846,91,0.005812463524155039,positive
E01,E10,0.2860050187016563,0.2860050187016563,91,0.005991326938061884,positive
T03,T12,0.2858428577933564,0.2858428577933564,91,0.006021119714934242,positive
S02,S07,-0.28502013467879145,0.28502013467879145,91,0.006174303762808486,negative
T12,E06,-0.2849957989821908,0.2849957989821908,91,0.006178886916779703,negative
V01,V14,0.2841148967102277,0.2841148967102277,91,0.006346828046288309,positive
V04,V06,0.28386575171380946,0.28386575171380946,91,0.006395053459116375,positive
E02,E07,-0.28345174245538546,0.28345174245538546,91,0.0064759076221856905,negative
T09,S14,-0.2829630400395842,0.2829630400395842,91,0.006572511242709986,negative
E11,S11,0.2822182660587931,0.2822182660587931,91,0.006722183951400354,positive
T11,E01,-0.2809251869728322,0.2809251869728322,91,0.006989210109541149,negative
T02,S10,-0.28045876352775223,0.28045876352775223,91,0.00708780177212064,negative
